                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7327,                 3.2277,                0.82305,                0.99586,                0.99834,                0.99425,                0.48445,                 1.7701,                0.81135,                0.81041,             0.00041339,             0.00041339,             0.00041339
                      2,                 1.6247,                0.86108,                0.81846,                0.99848,                0.99815,                  0.995,                0.60319,                 1.3898,                0.51879,                0.78594,             0.00081362,             0.00081362,             0.00081362
                      3,                 1.6121,                0.77329,                0.82187,                0.96746,                0.97052,                0.99318,                0.59076,                 1.4373,                0.60326,                0.79033,              0.0011973,              0.0011973,              0.0011973
                      4,                 1.5209,                0.67558,                0.81632,                0.99851,                      1,                  0.995,                0.61639,                 1.3614,                0.51898,                0.78088,              0.0011757,              0.0011757,              0.0011757
                      5,                  1.528,                0.65861,                0.81449,                0.99437,                0.99215,                0.99371,                0.56826,                 1.5272,                0.51814,                0.78848,              0.0011757,              0.0011757,              0.0011757
                      6,                 1.4707,                0.64003,                0.80804,                0.99805,                0.99826,                  0.995,                0.65948,                 1.2181,                  0.477,                0.77658,               0.001151,               0.001151,               0.001151
                      7,                 1.4756,                 0.6055,                0.81176,                 0.9978,                0.99903,                0.99415,                0.56187,                 1.5483,                0.61297,                0.79214,              0.0011263,              0.0011263,              0.0011263
                      8,                 1.3858,                0.57999,                0.80343,                  0.996,                0.99279,                0.99453,                0.58365,                 1.5394,                0.53108,                0.79192,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.3759,                0.57147,                0.80654,                0.99417,                0.99709,                0.99491,                 0.6487,                 1.2353,                0.50365,                0.77176,              0.0010768,              0.0010768,              0.0010768
                     10,                 1.3985,                0.58124,                0.80563,                 0.9965,                 0.9991,                0.99499,                0.63227,                 1.2992,                0.47379,                0.77702,               0.001052,               0.001052,               0.001052
                     11,                 1.3998,                 0.5717,                0.80598,                0.99647,                0.99781,                0.99411,                  0.647,                 1.2419,                0.49199,                0.77233,              0.0010273,              0.0010273,              0.0010273
                     12,                 1.3337,                0.55988,                0.80567,                0.99069,                0.99451,                0.99446,                0.67561,                 1.1842,                0.45412,                0.77232,              0.0010025,              0.0010025,              0.0010025
                     13,                 1.3425,                0.56352,                0.80397,                0.99747,                 0.9991,                0.99499,                  0.609,                 1.3813,                0.55951,                0.78294,             0.00097775,             0.00097775,             0.00097775
                     14,                 1.3343,                0.55338,                0.80197,                 0.9918,                0.99069,                0.99432,                0.67025,                 1.2195,                0.47925,                0.77497,               0.000953,               0.000953,               0.000953
                     15,                 1.3299,                0.57015,                0.80345,                0.99502,                0.99475,                0.99449,                0.66596,                 1.2473,                0.48792,                0.77425,             0.00092825,             0.00092825,             0.00092825
                     16,                 1.2724,                0.53053,                0.80312,                0.99991,                0.99619,                  0.995,                0.68353,                 1.1931,                0.46149,                0.77351,              0.0009035,              0.0009035,              0.0009035
                     17,                 1.2859,                 0.5348,                0.80192,                0.99252,                0.99488,                0.99468,                0.64734,                 1.3102,                0.51307,                0.78096,             0.00087875,             0.00087875,             0.00087875
                     18,                 1.3067,                0.55149,                0.80648,                0.99948,                0.99643,                  0.995,                0.65494,                 1.2638,                0.51211,                0.77658,               0.000854,               0.000854,               0.000854
                     19,                 1.2655,                0.55438,                0.79848,                0.98423,                 0.9806,                0.99414,                0.66579,                 1.2113,                 0.5265,                 0.7707,             0.00082925,             0.00082925,             0.00082925
                     20,                  1.274,                0.53753,                0.80075,                0.99507,                      1,                0.99496,                0.66205,                 1.2272,                0.51168,                0.77611,              0.0008045,              0.0008045,              0.0008045
                     21,                 1.2409,                0.52368,                0.80006,                0.99708,                0.99546,                0.99448,                0.67208,                 1.1671,                0.47419,                0.77384,             0.00077975,             0.00077975,             0.00077975
                     22,                 1.2355,                0.52788,                0.79929,                0.99476,                      1,                0.99492,                0.69561,                 1.1441,                0.46993,                0.77404,               0.000755,               0.000755,               0.000755
                     23,                 1.2656,                0.53773,                0.80304,                0.99524,                 0.9991,                0.99442,                0.68624,                 1.1647,                0.46487,                0.77526,             0.00073025,             0.00073025,             0.00073025
                     24,                 1.2172,                0.51346,                 0.8028,                0.99714,                0.99943,                  0.995,                0.68928,                 1.1781,                0.48081,                0.77625,              0.0007055,              0.0007055,              0.0007055
                     25,                 1.2151,                 0.5082,                0.79725,                0.99685,                 0.9985,                0.99498,                0.68894,                 1.1484,                0.45798,                0.77096,             0.00068075,             0.00068075,             0.00068075
                     26,                 1.1936,                 0.4878,                0.80113,                0.99849,                0.99978,                  0.995,                0.69116,                 1.1428,                 0.4581,                0.77231,               0.000656,               0.000656,               0.000656
                     27,                 1.1884,                0.50719,                0.79972,                0.99848,                0.99868,                  0.995,                0.69097,                 1.1348,                0.45747,                0.77156,             0.00063125,             0.00063125,             0.00063125
